,Title,Link,Date,Content
0,Wildfire near Rocky Mountain National Park fully contained at 147 acres,https://www.nbcnews.com/news/us-news/wildfire-rocky-mountain-national-park-fully-contained-147-acres-rcna6258,Sun Nov 21 2021 03:09:39 GMT+0000 (UTC)," A wildfire burning for four days in steep terrain near Rocky Mountain National Park in Colorado has been fully contained after scorching 147 acres, officials said Saturday.  The Kruger Rock Fire broke out Tuesday morning after high winds knocked down a tree onto a power line, the Larimer County Sheriff's Office said.  It became fully contained Saturday afternoon, according to the U.S. Forest Service.  The fire near Estes Park, a town of around 6,000 residents approximately 50 miles northwest of Denver, spread quickly amid warmer-than-normal temperatures and drought conditions in much of Colorado and the West. The rugged terrain prevented firefighters from approaching by foot, prompting local officials to order a water drop by air. An air tanker pilot died in a crash while fighting the fire.  The pilot, Marc Thor Olson, was attempting to drop fire suppressant over the Kruger Rock Fire when he alerted officials that conditions had become too turbulent to make the drop, according to the sheriff's office. Moments later, around 6:30 p.m., ground personnel heard the plane crash. ""We extend our sincerest condolences to the friends and family of Mr. Olson,"" the sheriff’s office said in a statement. Initial conditions caused the fire to spread quickly. Officials ordered mandatory and voluntary evacuations, which were lifted Friday evening.  There have been no reports of structure damage.  Alicia Victoria Lozano is a California-based reporter for NBC News focusing on climate change, wildfires and the changing politics of drug laws."
1,Thousands of giant sequoias killed in California wildfires,https://www.nbcnews.com/science/science-news/thousands-giant-sequoias-killed-california-wildfires-rcna6182,Fri Nov 19 2021 20:00:52 GMT+0000 (UTC)," LOS ANGELES — Lightning-sparked wildfires killed thousands of giant sequoias this year, adding to a staggering two-year death toll that accounts for up to nearly a fifth of Earth’s largest trees, officials said Friday. Fires in Sequoia National Park and the surrounding national forest that also bears the trees’ name tore through more than a third of groves in California and torched an estimated 2,261 and 3,637 sequoias, which are the largest trees by volume. Fires in the same area last year killed an unprecedented 7,500 to 10,400 of the 75,000 trees that are only native in about 70 groves scattered along the western side of the Sierra Nevada range. Intense fires that burned hot enough and high enough to kill so many giant sequoias — trees once considered nearly fire-proof — put an exclamation point on the impact of climate change. The combination of a warming planet that has created hotter droughts and a century of fire suppression that choked forests with thick undergrowth have fueled blazes that have sounded the death knell for trees that date back to ancient civilizations. “The sobering reality is that we have seen another huge loss within a finite population of these iconic trees that are irreplaceable in many lifetimes,” said Clay Jordan, superintendent of Sequoia and Kings Canyon National Parks. “As spectacular as these trees are we really can’t take them for granted. To ensure that they’re around for our kids and grandkids and great grandkids, some action is necessary.” California has seen its largest fires in the past five years, with last year setting a record for most acreage burned. So far, the second-largest amount of land has burned this year. After last year’s Castle and SQF Complex fires took officials by surprise by wiping out so many sequoias, extraordinary measures were taken to save the largest and oldest trees this year. The General Sherman tree — the largest living thing on earth — and other ancient trees that are the backdrop for photos that often fail to capture grandeur of the giant sequoias was wrapped in a foil blanket. A type of fire-retardant gel, similar to that used as absorbent in baby’s diapers, was dropped on tree canopies that can exceed 200 feet (60 meters) in height. Sprinklers watered down trunks and flammable matter was raked away from trees. The measures spared the Giant Forest, the premiere grove of ancient trees in the park, but the measures couldn’t be deployed everywhere. The bulk of the Suwanee grove in the park burned in an extreme fire in the Marble Fork of the Kaweah River drainage. The Starvation Complex grove in Sequoia National Forest was largely destroyed, based on estimates of how much of it burned at high-severity. In 2013, the park had done climate modeling that predicted extreme fires wouldn’t jeopardize sequoias for another 50 years, said Christy Brigham, chief of resource management and science at the two parks. But that was at the start of what became a punishing five-year drought that essentially broke the model. Amid the drought in 2015, the park saw giant sequoias torched for the first time. Two fires in 2017 killed more giant sequoias, serving as a warning for what was to come. “Then the Castle Fire happened and it was like, ‘Oh, my God,’” Brigham said. “We went from the warning sign to hair on fire. To lose 7,000 trees in one fire is crazy.” A full mortality count from last year’s fire is still not available because crews in the forest were in the process of confirming how many trees died when lightning struck Sept. 9, igniting the Windy Fire in Sequoia National Forest and the SQF Complex in the park, Brigham said. Not all the news from the estimates was bleak. While fire burned into 27 groves and large numbers of trees were incinerated, a lot of low-intensity fire that sequoias need to thrive cleared out vegetation and the heat will open cones so they can spread their seeds. Areas, however, where fire burned so hot and seeds were killed, may not be able to regenerate. For the first time, the park is considering planting seedlings to preserve the species. “I’m not ready to give up on giant sequoias,” Brigham said."
2,Former California professor indicted on arson charges in 4 wildfires,https://www.nbcnews.com/news/us-news/former-california-professor-indicted-arson-charges-4-wildfires-rcna6099,Fri Nov 19 2021 11:57:32 GMT+0000 (UTC)," A former California professor accused of setting a series of small wildfires near where the massive Dixie Fire was burning this year was indicted Thursday on federal charges, prosecutors said. Gary Stephen Maynard, 47, of San Jose, was indicted on four counts of arson to federal property and one count of setting timber afire, U.S. Attorney’s Office for the Eastern District of California said. He is not accused of setting the Dixie Fire, but is accused of setting four fires in July and August in the vicinity where firefighters were battling it.  Two of the fires, which were caught quickly, were set behind fire lines where crews were fighting the Dixie Fire and could have trapped them had they grown, prosecutors have said. The other two fires were contained at between 200 square feet and less than one acre, according to court documents. A public defender listed as representing Maynard did not immediately return a request for comment late Thursday. Court documents do not appear to detail a motive. Maynard, who was arrested in August, denied setting any fires to investigators, according to documents.  Maynard has, at times, been an adjunct faculty member and part-time lecturer Santa Clara University and Sonoma State University, but not recently, the universities have said.  At the time of the arsons, he was living in his car, according to court documents.  He faces up to 20 years in prison on each count of arson, the U.S. Attorney’s Office said. The Dixie Fire would become the second largest in recorded state history, burning more than 963,000 acres. The fire started on July 13 and was fully contained on Oct. 25, according to fire officials. The cause is under investigation. Phil Helsel is a reporter for NBC News."
3,"Colorado pilot fighting wildfire was making final pass before deadly crash, officials say",https://www.nbcnews.com/news/us-news/colorado-pilot-fighting-wildfire-was-making-final-pass-deadly-crash-of-rcna5959,Thu Nov 18 2021 03:52:01 GMT+0000 (UTC)," The pilot of a firefighting aircraft helping to battle a Colorado wildfire was making one final pass over the blaze Tuesday when the plane crashed, killing him, officials said. The man, Marc Thor Olson, an Army and Air Force veteran, died after the Air Tractor AT-802A went down about 6:40 p.m., CO Fire Aviation said Wednesday.  He was conducting drops on the Kruger Rock Fire, which was burning in steep terrain too dangerous for firefighters, near the town of Estes Park, in the mountains west of Loveland, when the plane crashed, the Larimer County Sheriff’s Office said Wednesday. The plane made one water drop and had returned with suppressant when it crashed, the sheriff’s office said.  ""The pilot told ground resources it was turbulent over the fire, conditions were not ideal to make a drop, and that he was going to make one more pass and then return to Loveland,"" the sheriff’s office said in a statement. ""Moments later, at approximately 6:37 p.m., ground resources heard the plane crash."" The National Transportation Safety Board is investigating. The Kruger Rock Fire broke out Tuesday morning southeast of Estes Park, a town of around 6,000 people about 25 miles west of Loveland. By Wednesday evening, the fire had grown to around 145 acres and was 40 percent contained. The wildfire began after high winds blew a tree onto a power line, the sheriff’s office said. No structures have been reported damaged.  Some evacuation orders were lifted or downgraded to voluntary Wednesday, and the U.S. Forest Service said cooler weather and lighter winds were aiding firefighters. Olson was flying the single-engine plane after nightfall using night-vision goggles, NBC affiliate KUSA of Denver reported. Olson was the only person on board. CO Fire Aviation said Olson had more than 8,000 flight hours and 1,000 hours of night-vision flight. The company said it is fully cooperating with investigators and is deeply saddened by his loss. Colorado had one of its worst wildfire seasons in history last year. Three of the state’s largest wildfires occurred last year, including the Cameron Peak Fire in Larimer County, the largest ever recorded, at 208,913 acres. Phil Helsel is a reporter for NBC News."
4,Pilot dead after air tanker crashes near Colorado wildfire,https://www.nbcnews.com/news/us-news/wildfire-prompts-evacuations-rocky-mountain-national-park-rcna5752,Wed Nov 17 2021 07:47:40 GMT+0000 (UTC)," The pilot of an air tanker was killed Tuesday when the plane crashed near a part of Colorado where crews have been battling a wildfire, officials said.  The single-engine plane was reported to have crashed around 6:30 p.m. Searchers found the crash site at 9:50 p.m. near Hermit Park, close to the town of Estes Park, the Larimer County Sheriff’s Office said. The pilot, who was the sole occupant, did not survive and was not immediately identified. The sheriff’s office did not say to whom the plane belonged.  The crash site was not far from the Kruger Rock Fire that broke out Tuesday, and appeared to be in an area that is under a mandatory evacuation order because of the fire.  Officials have not said if the plane was fighting the fire when it crashed. The Kruger Rock Fire broke out Tuesday morning southeast of Estes Park, the sheriff’s office said. The town of around 6,000 residents is approximately 50 miles northwest of Denver. The fire was fueled by gusting winds and steep terrain, which helped it quickly spread, the sheriff's office said. By Tuesday evening, the wildfire had grown to 133 acres and was 15 percent contained. No structures have been reported damaged, but the fire prompted evacuation orders. A section of nearby Rocky Mountain National Park was closed out of an abundance of caution, the park service said. Sections of the Roosevelt National Forest were also closed, the U.S Forest Service said. The Kruger Fire was started by high winds that blew a tree onto a power line, causing it to arc, the sheriff’s office said. The late-season fire comes amid warmer-than-normal temperatures and drought conditions in much of Colorado and the West.  There was also an elevated risk of wildfires as forecasters predicted high winds would hit a large swath of the state Tuesday, including the area along Interstate 25, where most of Colorado’s population is concentrated. Winds near the fire were gusting at 25 to 30 mph with low humidity, according to the National Weather Service.  Alicia Victoria Lozano is a California-based reporter for NBC News focusing on climate change, wildfires and the changing politics of drug laws. Phil Helsel is a reporter for NBC News."
5,Map: Track California's Alisal Fire,https://www.nbcnews.com/news/us-news/wildfire-tracker-see-size-alisal-fire-n1281470,Wed Oct 13 2021 21:12:08 GMT+0000 (UTC)," The Alisal Fire is growing quickly along Southern California’s coast. The blaze ignited Monday and, fueled by dry conditions and powerful winds, has grown to cover more than 20 square miles in just two days. The fire has already prompted evacuation orders for several nearby towns. Follow the spread of the fire with the map below. It will be updated daily. Nigel Chiwaya is a senior data editor for NBC News."
6,"California wildfire balloons to 13,400 acres, jumps major highway",https://www.nbcnews.com/news/us-news/wildfire-closes-major-california-highway-prompts-evacuations-n1281298,Wed Oct 13 2021 01:52:00 GMT+0000 (UTC)," The Alisal Fire continued to wreak havoc on California's Central Coast, ballooning to more than 13,000 acres by Tuesday night with 5 percent containment, according to Santa Barbara County fire officials. Authorities had already shut down a major thoroughfare and ordered mandatory evacuations as powerful winds swept across the state and fueled the rapidly growing fire that erupted Monday afternoon in the Los Padres National Forest. U.S. Highway 101, which stretches from California through Washington state, remained closed Tuesday near Santa Barbara. High winds fueled the fire overnight, helping it to jump all four lanes of the highway and spread to Tajiguas Beach. Approximately 100 structures were threatened, federal officials said, which includes ranches and homes. Around 600 firefighting personnel were working to contain the blaze Tuesday, the U.S. Forest Service said. ""The fire is burning in dense chaparral and is being pushed by strong winds and growing at a rapid rate of speed,"" said a Los Padres National Forest incident report. Smoke was visible throughout southern Santa Barbara County. #Alisal Fire - Having jumped the four lanes of Highway 101, flames continue to burn early Tuesday morning along the Gaviota Coast. pic.twitter.com/OY4ih7a5Ln Dramatic video captured by NBC affiliate KSBY of San Luis Obispo showed towering flames burning toward U.S. Highway 101. Parks, beaches and campgrounds were evacuated as the fire quickly spread. As of Tuesday morning, evacuation orders were in effect for the Refugio Canyon and were expanded to include El Capitan State Beach and the El Capitan campground. More evacuation warnings were issued Tuesday afternoon, and officials warned people to be prepared to leave. The fire ignited Monday as a large swath of the state was under a red flag warning, indicating increased fire risk. A cause of the fire was unknown Tuesday afternoon. Power companies across the state shut off electricity in an effort to prevent new blazes from starting. #Alisal Fire - UPDATE- The acreage has been revised and updated to now 13,400 acres burned. Pacific Gas & Electric said that all its customers should get power restored by Tuesday night, but it said more winds that could arrive early Thursday could cause pre-emptive shutoffs to around 29,000 customers. The utility company said that could affect ""small, targeted portions of 19 counties"" and four tribes. Nearly 2.5 million acres have burned in California in 2021, making it one of the most explosive years on record, according to the California Department of Forestry and Fire Protection. Experts have attributed the state’s increasingly volatile wildfire seasons to climate change and decades of fire suppression policies that allowed the state’s wildlands to become dangerously overgrown. Tim Stelloh is a breaking news reporter for NBC News Digital. Elisha Fieldstadt is a breaking news reporter for NBC News."
7,Ex-yoga teacher accused of arson in destructive Northern California blaze,https://www.nbcnews.com/news/us-news/destructive-fast-moving-california-wildfire-may-be-arson-not-natural-n1280208,Tue Sep 28 2021 02:21:00 GMT+0000 (UTC)," Authorities in Northern California last week announced the arrest of a woman who they say ignited a wind-whipped wildfire that quickly tore through steep, rugged terrain, destroying 144 buildings, prompting the evacuation of thousands of people and becoming one of the state's more destructive blazes this year. The woman, Alexandra Souverneva, 30, a onetime yoga teacher from the San Francisco Bay Area whom a former colleague recalled as ""brilliant,"" is among more than 100 people who have been accused of wildland arson and arrested this year by the California Department of Forestry and Fire Protection, or Cal Fire. The charge alleges a rare but significant act that has come into sharper focus as parched, overgrown forests explode across thousands of acres in days. ""It is difficult to grasp when disaster like this is, apparently, not a natural disaster, but we have a suspect, and this might be an arson case,"" Shasta County Sheriff Michael Johnson said during a community meeting Saturday. Souverneva has pleaded not guilty. Wildfires are usually accidental, ignited by damaged power lines, vehicles and logging equipment, said Ed Nordskog, a retired arson investigator with the Los Angeles County Sheriff's Department and a co-author of ""Arson Investigation in the Wildlands."" While most wildfire agencies attribute about 10 percent of blazes to arson, Nordskog said the real number could be twice as high — a result of decades of officials' prioritizing suppression over investigations. ""If you don't send an investigator, you don't have arson,"" he said. The intentional setting of a wildland fire can have swift, profound consequences. As Nordskog put it: ""They literally have the power of an atomic bomb at their fingertips. They can burn an entire town down if the conditions are right."" In 2006, for instance, a wind-driven blaze burned across 40,000 acres in Southern California, destroying dozens of homes and killing five firefighters. Raymond Oyler, a mechanic from Riverside County, was convicted of arson and murder and sentenced to death. In 2008, a former volunteer firefighter from Northern California, Robert Eason, was convicted of setting a dozen fires north of Sacramento, including one that burned 1,000 acres and killed 200 sheep. Investigators said Eason used a sophisticated time-delay device to ignite the fires. Unlike urban arsonists, whose ages, genders and races vary, wildland arsonists tend to be middle-age men, said Nordskog, who also wrote ""The Arsonist Profiles: Analyzing Arson Motives and Behavior."" Although lighters and matches are the preferred methods of ignition, some people, like Eason, use time-delay devices, such as matches wrapped around a cigarette, he said. ""When they burst into flames, they're seven to 15 miles away,"" Nordskog said. Although some arsonists act for thrills, Nordskog said, anger, frustration and mental illness are more common motives. Just as common is how daunting the investigations can be. They're often in remote areas, with ignition points that could be devastated as firefighters work to extinguish the blazes, he said. Fire officials said Souverneva was arrested Wednesday night after she emerged from the brush near a fire line northeast of Redding in Shasta County. She had a working lighter in her pocket, Shasta County District Attorney Stephanie Bridgett said Friday, and told firefighters that she was dehydrated and needed medical treatment. According to a Cal Fire report obtained by the Record Searchlight of Redding, Souverneva said she was hiking to Canada and tried to boil water that she found in a puddle. Her attempts failed, the report said, but she drank the water anyway — she believed it was mixed with bear urine — then walked uphill and saw smoke and airplanes “dropping pink stuff.” Souverneva was taken into custody on suspicion of arson. Because of a declared state of emergency, Souverneva faces an enhanced sentence of nine years if she is convicted, Bridgett said. She said authorities are ""aware"" of other fires locally and around the state that Souverneva ""may be linked to."" Bridgett declined to provide additional details. Bridgett, who also declined to discuss a possible motive, said there was no indication that Souverneva was under the influence of drugs or alcohol. Nor did she appear mentally ill, Bridgett said, although witnesses who saw her earlier said she was acting ""irrationally,"" Cal Fire said in a statement. Souverneva pleaded not guilty to felony arson. Her attorney, Shana Vegvary, said that Souverneva was ""asserting her innocence"" and that ""no evidence has been presented to the contrary."" ""We request that the public not prejudge this case,"" she said. Relatives in the Bay Area did not respond to requests for comment. A former colleague and instructor who taught Souverneva at Avalon Yoga International, in Palo Alto, recalled her as a brilliant student who attended the California Institute of Technology and worked for pharmaceutical companies before she burned out on ""big money-grubbing corporations."" ""I thought she was an idealistic kid,"" said Steve Farmer, the chief executive of Avalon. ""She was into conservation and forests."" Farmer said he hadn't seen her since the pandemic started, when Avalon closed, although he planned to rehire her after it reopened. ""She would have been the last person I would have thought to get involved in something like this,"" he said. As of Monday, the fire in Shasta County had destroyed dozens of homes and grown to nearly 9,000 acres, according to Cal Fire. Firefighters had surrounded half of the blaze with containment lines. Tim Stelloh is a breaking news reporter for NBC News Digital."
8,California wildfires: Sequoias burn as state grapples with multiple blazes,https://www.nbcnews.com/now/video/california-wildfires-sequoias-burn-as-state-grapples-with-multiple-blazes-121940037786,,
9,"California Gov. Newsom commits $15B to combat wildfire, drought and climate change",https://www.nbcnews.com/news/us-news/california-gov-newsom-commits-15b-combat-wildfire-drought-climate-change-n1279974,Thu Sep 23 2021 20:55:00 GMT+0000 (UTC)," Standing near an aluminum foil-wrapped welcome sign at Sequoia National Park in Northern California, Gov. Gavin Newsom on Thursday signed a bill directing more than $15 billion to combat wildfires, drought and other climate change-driven challenges facing the state. Newsom signed the spending bill while touring portions of the KNP Complex Fire, where some of the world’s oldest and largest sequoias have been threatened by wildfire in recent days. ""It's an unprecedented investment by any state in U.S. history,"" he said. ""We have a responsibility in California to get things done because we are the tip of the spear."" The climate package includes $5.2 billion for drought response and resilience, $3.7 billion for urban greening projects and coastal protection efforts, and $3.9 billion to fast-track the state's goal of switching to all zero-emissions vehicles by 2035. Newsom also approved nearly $1 billion in new spending to prevent wildfires, signaling a policy shift in a state that historically focused more on putting out fires than stopping them before they start. California spent $3.4 billion on wildfire protection last year, more than quadruple the level 15 years ago and a reflection of the reality that wildfires are getting bigger and more destructive from climate change. Six of the state's 10 largest wildfires have happened in the past two years. But state officials have spent the vast majority of that money on extinguishing fires, a job that has become harder as the fires have gotten bigger and hotter. This year, Newsom and the state Legislature agreed to dramatically increase spending on prevention. The initial outlay was about $500 million, but with a record-breaking budget surplus they were able to add nearly $1 billion more for a total of $1.5 billion. “Conditions have never been more challenging,” Wade Crowfoot, secretary of the California Natural Resources Agency, said. “Expanding our upfront proactive actions is essential to address the wildfire risks we now face.” Scientists have long warned that the weather will get wilder as the world warms. Climate change has made the West much warmer and drier in the past 30 years. Most of the wildfire prevention money will pay for things like clearing brush and dead trees that act as kindling when fires start, causing them to quickly burn out of control before firefighters can contain them. There's money to hire inspectors to make sure newer homes built in the state's wildfire-prone areas comply with building codes requiring fire-resistant materials. And there's money for the state to intentionally set fires when conditions are right to burn away fuel that would otherwise help larger fires burn during the dry season. The money Newsom approved is the final piece of the state's $262.5 billion operating budget. The spending Newsom approved Thursday also includes $1.2 billion for things like water recycling projects, cleaning up contaminated water sources and grants to help communities plan for climate change. Republicans have criticized the spending because it does not include money for water storage projects, like building new reservoirs. California voters approved about $2.7 billion in 2014 for water storage projects. But so far, none of those have been built. Alicia Victoria Lozano is a California-based reporter for NBC News focusing on climate change, wildfires and the changing politics of drug laws."
